,model,C0,S0,pato0,k_ap,GFP
0,original,0.1,0.1,1.0,1e-06,893.7188121735588
1,original,0.1,0.1,1.0,1.1768119524349991e-06,894.2657801526566
2,original,0.1,0.1,1.0,1.3848863713938717e-06,894.9077358916779
3,original,0.1,0.1,1.0,1.6297508346206435e-06,895.6608341478886
4,original,0.1,0.1,1.0,1.917910261672489e-06,896.5436950618575
5,original,0.1,0.1,1.0,2.2570197196339214e-06,897.578103636897
6,original,0.1,0.1,1.0,2.656087782946684e-06,898.7891752824931
7,original,0.1,0.1,1.0,3.1257158496882352e-06,900.205749495804
8,original,0.1,0.1,1.0,3.6783797718286343e-06,901.8609621904915
9,original,0.1,0.1,1.0,4.328761281083061e-06,903.7927276625144
10,original,0.1,0.1,1.0,5.0941380148163755e-06,906.0440266239843
11,original,0.1,0.1,1.0,5.994842503189409e-06,908.6634123428527
12,original,0.1,0.1,1.0,7.0548023107186455e-06,911.705269980798
13,original,0.1,0.1,1.0,8.302175681319735e-06,915.2298747594299
14,original,0.1,0.1,1.0,9.770099572992246e-06,919.3034848647175
15,original,0.1,0.1,1.0,1.1497569953977357e-05,923.9979086663033
16,original,0.1,0.1,1.0,1.3530477745798076e-05,929.3896176094727
17,original,0.1,0.1,1.0,1.5922827933410938e-05,935.5585742409996
18,original,0.1,0.1,1.0,1.873817422860383e-05,942.5863181306472
19,original,0.1,0.1,1.0,2.2051307399030455e-05,950.5533482903587
20,original,0.1,0.1,1.0,2.5950242113997373e-05,959.5358638353355
21,original,0.1,0.1,1.0,3.053855508833412e-05,969.6013995000059
22,original,0.1,0.1,1.0,3.5938136638046256e-05,980.804354441001
23,original,0.1,0.1,1.0,4.229242874389499e-05,993.1801026679315
24,original,0.1,0.1,1.0,4.977023564332114e-05,1006.7391578116662
25,original,0.1,0.1,1.0,5.857020818056661e-05,1021.4610421525915
26,original,0.1,0.1,1.0,6.892612104349695e-05,1037.2884994382857
27,original,0.1,0.1,1.0,8.111308307896872e-05,1054.122867241581
28,original,0.1,0.1,1.0,9.545484566618328e-05,1071.8215731045693
29,original,0.1,0.1,1.0,0.00011233240329780277,1090.1986716530967
30,original,0.1,0.1,1.0,0.00013219411484660288,1109.0292525765797
31,original,0.1,0.1,1.0,0.00015556761439304722,1128.0575302929064
32,original,0.1,0.1,1.0,0.0001830738280295368,1147.008052851372
33,original,0.1,0.1,1.0,0.00021544346900318823,1165.5986943595942
34,original,0.1,0.1,1.0,0.00025353644939701115,1183.5540964161335
35,original,0.1,0.1,1.0,0.0002983647240283337,1200.6182989060853
36,original,0.1,0.1,1.0,0.0003511191734215131,1216.565828665397
37,original,0.1,0.1,1.0,0.00041320124001153346,1231.2109773076397
38,original,0.1,0.1,1.0,0.00048626015800653534,1244.4157951687637
39,original,0.1,0.1,1.0,0.0005722367659350214,1256.0970046679547
40,original,0.1,0.1,1.0,0.0006734150657750821,1266.2316074737491
41,original,0.1,0.1,1.0,0.0007924828983539169,1274.858940480181
