,model,C0,S0,pato0,k_ap,GFP
0,original_dimer,0.1,0.1,1.0,1e-06,175.4265051060425
1,original_dimer,0.1,0.1,1.0,1.1768119524349991e-06,175.42650729121254
2,original_dimer,0.1,0.1,1.0,1.3848863713938717e-06,175.4265094195898
3,original_dimer,0.1,0.1,1.0,1.6297508346206435e-06,175.4265103078079
4,original_dimer,0.1,0.1,1.0,1.917910261672489e-06,175.42651370885568
5,original_dimer,0.1,0.1,1.0,2.2570197196339214e-06,175.42651972795892
6,original_dimer,0.1,0.1,1.0,2.656087782946684e-06,175.4265280480042
7,original_dimer,0.1,0.1,1.0,3.1257158496882352e-06,175.42653677945512
8,original_dimer,0.1,0.1,1.0,3.6783797718286343e-06,175.4265505168502
9,original_dimer,0.1,0.1,1.0,4.328761281083061e-06,175.4265683265267
10,original_dimer,0.1,0.1,1.0,5.0941380148163755e-06,175.4265960632153
11,original_dimer,0.1,0.1,1.0,5.994842503189409e-06,175.42663219865133
12,original_dimer,0.1,0.1,1.0,7.0548023107186455e-06,175.42668248511117
13,original_dimer,0.1,0.1,1.0,8.302175681319735e-06,175.42675224796434
14,original_dimer,0.1,0.1,1.0,9.770099572992246e-06,175.42684917960284
15,original_dimer,0.1,0.1,1.0,1.1497569953977357e-05,175.4269817560247
16,original_dimer,0.1,0.1,1.0,1.3530477745798076e-05,175.4271660292174
17,original_dimer,0.1,0.1,1.0,1.5922827933410938e-05,175.42742119906157
18,original_dimer,0.1,0.1,1.0,1.873817422860383e-05,175.42777405020527
19,original_dimer,0.1,0.1,1.0,2.2051307399030455e-05,175.42826476407586
20,original_dimer,0.1,0.1,1.0,2.5950242113997373e-05,175.428943492161
21,original_dimer,0.1,0.1,1.0,3.053855508833412e-05,175.42988101442157
22,original_dimer,0.1,0.1,1.0,3.5938136638046256e-05,175.43118338641034
23,original_dimer,0.1,0.1,1.0,4.229242874389499e-05,175.4329843164766
24,original_dimer,0.1,0.1,1.0,4.977023564332114e-05,175.43547661165903
25,original_dimer,0.1,0.1,1.0,5.857020818056661e-05,175.43892872853658
26,original_dimer,0.1,0.1,1.0,6.892612104349695e-05,175.44370848699532
27,original_dimer,0.1,0.1,1.0,8.111308307896872e-05,175.45032419145792
28,original_dimer,0.1,0.1,1.0,9.545484566618328e-05,175.45948141024664
