,model,C0,S0,pato0,k_ap,GFP
0,simple,0.1,0.1,1.0,1e-06,0.1403508798910777
1,simple,0.1,0.1,1.0,1.1768119524349991e-06,0.14035088122567724
2,simple,0.1,0.1,1.0,1.3848863713938717e-06,0.14035088266641563
3,simple,0.1,0.1,1.0,1.6297508346206435e-06,0.14035088258073836
4,simple,0.1,0.1,1.0,1.917910261672489e-06,0.14035088842428747
5,simple,0.1,0.1,1.0,2.2570197196339214e-06,0.14035089250425883
6,simple,0.1,0.1,1.0,2.656087782946684e-06,0.1403508981803319
7,simple,0.1,0.1,1.0,3.1257158496882352e-06,0.14035090693562452
8,simple,0.1,0.1,1.0,3.6783797718286343e-06,0.14035091869423313
9,simple,0.1,0.1,1.0,4.328761281083061e-06,0.14035093460793302
10,simple,0.1,0.1,1.0,5.0941380148163755e-06,0.14035095393056998
11,simple,0.1,0.1,1.0,5.994842503189409e-06,0.14035098806738464
12,simple,0.1,0.1,1.0,7.0548023107186455e-06,0.14035103049799666
13,simple,0.1,0.1,1.0,8.302175681319735e-06,0.14035109034603316
14,simple,0.1,0.1,1.0,9.770099572992246e-06,0.14035117028674382
15,simple,0.1,0.1,1.0,1.1497569953977357e-05,0.14035128495115662
16,simple,0.1,0.1,1.0,1.3530477745798076e-05,0.14035144214428422
17,simple,0.1,0.1,1.0,1.5922827933410938e-05,0.14035165961814838
18,simple,0.1,0.1,1.0,1.873817422860383e-05,0.14035195654725657
19,simple,0.1,0.1,1.0,2.2051307399030455e-05,0.14035236803616152
20,simple,0.1,0.1,1.0,2.5950242113997373e-05,0.14035295632446979
21,simple,0.1,0.1,1.0,3.053855508833412e-05,0.1403537509169577
22,simple,0.1,0.1,1.0,3.5938136638046256e-05,0.1403548627475463
23,simple,0.1,0.1,1.0,4.229242874389499e-05,0.14035638908846534
24,simple,0.1,0.1,1.0,4.977023564332114e-05,0.1403585190257578
25,simple,0.1,0.1,1.0,5.857020818056661e-05,0.1403614560405397
26,simple,0.1,0.1,1.0,6.892612104349695e-05,0.14036552714740314
27,simple,0.1,0.1,1.0,8.111308307896872e-05,0.14037115650871346
28,simple,0.1,0.1,1.0,9.545484566618328e-05,0.14037895586128987
29,simple,0.1,0.1,1.0,0.00011233240329780277,0.1403897486805683
30,simple,0.1,0.1,1.0,0.00013219411484660288,0.14040468081872656
31,simple,0.1,0.1,1.0,0.00015556761439304722,0.14042534980247323
32,simple,0.1,0.1,1.0,0.0001830738280295368,0.14045393940337242
33,simple,0.1,0.1,1.0,0.00021544346900318823,0.14049348850954696
34,simple,0.1,0.1,1.0,0.00025353644939701115,0.1405481772393513
35,simple,0.1,0.1,1.0,0.0002983647240283337,0.14062378206004272
36,simple,0.1,0.1,1.0,0.0003511191734215131,0.14072825743332792
37,simple,0.1,0.1,1.0,0.00041320124001153346,0.14087255723388373
38,simple,0.1,0.1,1.0,0.00048626015800653534,0.1410717289212416
39,simple,0.1,0.1,1.0,0.0005722367659350214,0.14134644560639384
40,simple,0.1,0.1,1.0,0.0006734150657750821,0.14172491627580078
41,simple,0.1,0.1,1.0,0.0007924828983539169,0.14224562534047505
42,simple,0.1,0.1,1.0,0.0009326033468832199,0.14296068735409032
43,simple,0.1,0.1,1.0,0.0010974987654930556,0.14394018647430643
44,simple,0.1,0.1,1.0,0.001291549665014884,0.1452773095714319
45,simple,0.1,0.1,1.0,0.0015199110829529332,0.14709391752718876
46,simple,0.1,0.1,1.0,0.001788649529057435,0.1495453631580431
47,simple,0.1,0.1,1.0,0.00210490414451202,0.1528216913423971
48,simple,0.1,0.1,1.0,0.0024770763559917087,0.1571396211736378
49,simple,0.1,0.1,1.0,0.002915053062825176,0.1627153762349299
50,simple,0.1,0.1,1.0,0.0034304692863149156,0.16970515876988618
51,simple,0.1,0.1,1.0,0.004037017258596553,0.17810637786838687
52,simple,0.1,0.1,1.0,0.004750810162102793,0.18764615054617512
53,simple,0.1,0.1,1.0,0.005590810182512223,0.19774424136565322
54,simple,0.1,0.1,1.0,0.006579332246575676,0.20764898958398276
55,simple,0.1,0.1,1.0,0.007742636826811269,0.21670374120613936
56,simple,0.1,0.1,1.0,0.009111627561154887,0.22454172563296754
57,simple,0.1,0.1,1.0,0.010722672220103232,0.23108957338887803
58,simple,0.1,0.1,1.0,0.012618568830660211,0.2364551479498389
59,simple,0.1,0.1,1.0,0.014849682622544635,0.24081658359035146
60,simple,0.1,0.1,1.0,0.017475284000076828,0.24435696049644867
61,simple,0.1,0.1,1.0,0.020565123083486514,0.2472371579068928
62,simple,0.1,0.1,1.0,0.024201282647943835,0.24958930217807881
63,simple,0.1,0.1,1.0,0.02848035868435799,0.25151867548594364
64,simple,0.1,0.1,1.0,0.03351602650938841,0.2531082576007798
65,simple,0.1,0.1,1.0,0.03944206059437656,0.25442328701571476
66,simple,0.1,0.1,1.0,0.046415888336127725,0.255515235456772
67,simple,0.1,0.1,1.0,0.05462277217684337,0.2564249423205237
68,simple,0.1,0.1,1.0,0.06428073117284319,0.2571849809452687
69,simple,0.1,0.1,1.0,0.07564633275546291,0.25782156263871364
70,simple,0.1,0.1,1.0,0.08902150854450375,0.25835588748101856
71,simple,0.1,0.1,1.0,0.1047615752789664,0.25880518864935115
72,simple,0.1,0.1,1.0,0.12328467394420659,0.2591835949180117
73,simple,0.1,0.1,1.0,0.145082877849594,0.2595027057083631
74,simple,0.1,0.1,1.0,0.17073526474706888,0.2597721374318503
75,simple,0.1,0.1,1.0,0.2009233002565046,0.25999982581670594
76,simple,0.1,0.1,1.0,0.23644894126454072,0.26019241860382364
77,simple,0.1,0.1,1.0,0.2782559402207126,0.260355415871941
78,simple,0.1,0.1,1.0,0.3274549162877725,0.26049345949907776
79,simple,0.1,0.1,1.0,0.38535285937105274,0.26061043094122843
80,simple,0.1,0.1,1.0,0.4534878508128582,0.2607095836488861
81,simple,0.1,0.1,1.0,0.5336699231206302,0.26079366405060156
82,simple,0.1,0.1,1.0,0.6280291441834247,0.26086498167967614
83,simple,0.1,0.1,1.0,0.7390722033525775,0.2609255031764045
84,simple,0.1,0.1,1.0,0.8697490026177834,0.26097685418198335
85,simple,0.1,0.1,1.0,1.0235310218990248,0.26102045562335635
86,simple,0.1,0.1,1.0,1.2045035402587811,0.2610574681288835
87,simple,0.1,0.1,1.0,1.4174741629268048,0.26108889398593077
88,simple,0.1,0.1,1.0,1.6681005372000592,0.2611155787230931
89,simple,0.1,0.1,1.0,1.9630406500402684,0.2611382420981152
90,simple,0.1,0.1,1.0,2.310129700083158,0.26115749369698577
91,simple,0.1,0.1,1.0,2.71858824273294,0.2611738454508353
92,simple,0.1,0.1,1.0,3.1992671377973845,0.26118773405161066
93,simple,0.1,0.1,1.0,3.7649358067924634,0.2611995339592134
94,simple,0.1,0.1,1.0,4.430621457583878,0.2612095527639048
95,simple,0.1,0.1,1.0,5.214008287999684,0.26121807027178506
96,simple,0.1,0.1,1.0,6.135907273413163,0.26122530413403433
97,simple,0.1,0.1,1.0,7.220809018385457,0.2612314566306837
98,simple,0.1,0.1,1.0,8.497534359086439,0.2612366789100117
99,simple,0.1,0.1,1.0,10.0,0.2612411162168802
100,simple,0.1,0.1,5.0,1e-06,0.7017544013150048
101,simple,0.1,0.1,5.0,1.1768119524349991e-06,0.7017544056247296
102,simple,0.1,0.1,5.0,1.3848863713938717e-06,0.7017544139603052
103,simple,0.1,0.1,5.0,1.6297508346206435e-06,0.7017544255822762
104,simple,0.1,0.1,5.0,1.917910261672489e-06,0.7017544337029574
105,simple,0.1,0.1,5.0,2.2570197196339214e-06,0.7017544640647095
106,simple,0.1,0.1,5.0,2.656087782946684e-06,0.7017544918938216
107,simple,0.1,0.1,5.0,3.1257158496882352e-06,0.7017545439896881
108,simple,0.1,0.1,5.0,3.6783797718286343e-06,0.701754591088213
109,simple,0.1,0.1,5.0,4.328761281083061e-06,0.7017546734195411
110,simple,0.1,0.1,5.0,5.0941380148163755e-06,0.7017547814697944
111,simple,0.1,0.1,5.0,5.994842503189409e-06,0.7017549396992386
112,simple,0.1,0.1,5.0,7.0548023107186455e-06,0.701755148165837
113,simple,0.1,0.1,5.0,8.302175681319735e-06,0.7017554519176816
114,simple,0.1,0.1,5.0,9.770099572992246e-06,0.7017558621601172
